file,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment
media/webrtc/trunk/webrtc/video_engine/test/auto_test/source/vie_autotest_image_process.cc,237,15,6,2,0.38
media/webrtc/trunk/webrtc/engine_configurations.h,146,0,0,0,0.00
media/webrtc/trunk/webrtc/video_engine/test/auto_test/interface/vie_autotest.h,138,0,0,0,0.56
media/webrtc/trunk/webrtc/video_engine/test/auto_test/interface/vie_autotest_defines.h,195,1,13,1,0.27
media/webrtc/trunk/webrtc/video_engine/test/libvietest/include/tb_capture_device.h,37,0,0,0,0.67
media/webrtc/trunk/webrtc/video_engine/test/libvietest/include/tb_interfaces.h,56,1,1,0,0.70
media/webrtc/trunk/webrtc/video_engine/test/libvietest/include/tb_video_channel.h,51,0,0,0,0.52
content/media/wave/WaveReader.cpp,685,4,29,3,0.11
content/media/AbstractMediaDecoder.h,163,1,5,0,0.53
content/media/MediaResource.h,691,1,40,1,0.85
content/media/wave/WaveReader.h,109,1,3,0,0.54
content/media/MediaDecoderStateMachine.h,827,1,19,1,1.70
content/media/VideoUtils.h,153,2,5,2,0.72
nsprpub/pr/include/prlog.h,221,0,0,0,5.67
gfx/angle/src/libGLESv2/renderer/renderer9_utils.cpp,500,9,23,2,0.02
gfx/angle/src/libGLESv2/precompiled.h,42,0,0,0,0.00
gfx/angle/src/libGLESv2/renderer/renderer9_utils.h,74,5,1,1,0.17
gfx/angle/src/libGLESv2/mathutil.h,161,2,12,2,0.09
gfx/angle/src/libGLESv2/Context.h,505,4,3,2,0.07
gfx/angle/src/common/debug.h,112,0,0,0,1.46
gfx/angle/include/GLES2/gl2.h,621,0,0,0,0.54
gfx/angle/include/GLES2/gl2ext.h,1550,0,0,0,2.19
security/nss/lib/certhigh/ocsp.c,6179,6,110,4,0.44
nsprpub/pr/include/prerror.h,294,0,0,0,5.45
nsprpub/pr/include/prprf.h,122,0,0,0,5.73
nsprpub/lib/ds/plarena.h,253,0,0,0,3.87
nsprpub/pr/include/prnetdb.h,467,0,0,0,5.76
security/nss/lib/util/seccomon.h,92,0,0,0,0.69
security/nss/lib/util/secitem.h,118,0,0,0,2.58
security/nss/lib/util/secoidt.h,487,0,0,0,0.22
security/nss/lib/util/secasn1.h,292,0,0,0,0.48
